"Fips","Area","IndCode","Industry","2009"
"01000","Alabama","43","      Other transportation and support activities",845
"01000","Alabama","44","      Warehousing and storage",527
"01000","Alabama","45","    Information",4244
"01000","Alabama","46","      Publishing industries, except Internet (includes software)",1101
"01000","Alabama","47","      Motion picture and sound recording industries",173
"01000","Alabama","48","      Broadcasting and telecommunications",2801
"01000","Alabama","49","      Data processing, internet publishing, and other information services",169
"01000","Alabama","50","    Finance, insurance, real estate, rental, and leasing",25185
"01000","Alabama","51","      Finance and insurance",7238
"01000","Alabama","52","        Federal Reserve banks, credit intermediation, and related services",3358
"01000","Alabama","53","        Securities, commodity contracts, and investments",538
"01000","Alabama","54","        Insurance carriers and related activities",3281
"01000","Alabama","55","        Funds, trusts, and other financial vehicles",61
"01000","Alabama","56","      Real estate and rental and leasing",17947
"01000","Alabama","57","        Real estate",16205
"01000","Alabama","58","        Rental and leasing services and lessors of intangible assets",1742
"01000","Alabama","59","    Professional and business services",16090
"01000","Alabama","60","      Professional, scientific, and technical services",10492
"01000","Alabama","61","        Legal services",2139
"01000","Alabama","62","        Computer systems design and related services",2248
"01000","Alabama","63","        Miscellaneous professional, scientific, and technical services",6104
"01000","Alabama","64","      Management of companies and enterprises",1510
"01000","Alabama","65","      Administrative and waste management services",4088
"01000","Alabama","66","        Administrative and support services",3681
"01000","Alabama","67","        Waste management and remediation services",407
"01000","Alabama","68","    Educational services, health care, and social assistance",12957
"01000","Alabama","69","      Educational services",935
"01000","Alabama","70","      Health care and social assistance",12022
"01000","Alabama","71","        Ambulatory health care services",7070
"01000","Alabama","72","        Hospitals and nursing and residential care facilities",4229
"01000","Alabama","73","        Social assistance",723
"01000","Alabama","74","    Arts, entertainment, recreation, accommodation, and food services",4826
"01000","Alabama","75","      Arts, entertainment, and recreation",668
"01000","Alabama","76","        Performing arts, spectator sports, museums, and related activities",278
"01000","Alabama","77","        Amusements, gambling, and recreation industries",390
"01000","Alabama","78","      Accommodation and food services",4158
"01000","Alabama","79","        Accommodation",613
"01000","Alabama","80","        Food services and drinking places",3544
"01000","Alabama","81","    Other services, except government",4694
"01000","Alabama","82","  Government",31286
"01000","Alabama","83","    Federal civilian",7174
"01000","Alabama","84","    Federal military",4367
"01000","Alabama","85","    State and local",19746
"01000","Alabama","86","Addenda:",""
"01000","Alabama","86","Natural resources and mining",5021
"01000","Alabama","87","Trade",21999
"01000","Alabama","88","Transportation and utilities",9437
"01000","Alabama","89","Private goods-producing industries",38332
"01000","Alabama","90","Private services-providing industries",99434
"02000","Alaska","1","All industry total",49954
"02000","Alaska","2","  Private industries",40746
"02000","Alaska","3","    Agriculture, forestry, fishing, and hunting",305
"02000","Alaska","4","      Farms",14
"02000","Alaska","5","      Forestry, fishing, and related activities",290
"02000","Alaska","6","    Mining",14327
"02000","Alaska","7","      Oil and gas extraction",11287
"02000","Alaska","8","      Mining, except oil and gas",1689
"02000","Alaska","9","      Support activities for mining",1351
"02000","Alaska","10","    Utilities",612
"02000","Alaska","11","    Construction",2143
"02000","Alaska","12","    Manufacturing",1867
"02000","Alaska","13","      Durable goods manufacturing",228
"02000","Alaska","14","        Wood products manufacturing",16
"02000","Alaska","15","        Nonmetallic mineral products manufacturing",68
"02000","Alaska","16","        Primary metals manufacturing",3
"02000","Alaska","17","        Fabricated metal products",38
"02000","Alaska","18","        Machinery manufacturing",12
"02000","Alaska","19","        Computer and electronic products manufacturing",19
"02000","Alaska","20","        Electrical equipment, appliance, and components manufacturing",4
"02000","Alaska","21","        Motor vehicles, bodies and trailers, and parts manufacturing",1
"02000","Alaska","22","        Other transportation equipment manufacturing",49
"02000","Alaska","23","        Furniture and related products manufacturing",7
"02000","Alaska","24","        Miscellaneous manufacturing",10
"02000","Alaska","25","      Nondurable goods manufacturing",1639
"02000","Alaska","26","        Food and beverage and tobacco products manufacturing",792
"02000","Alaska","27","        Textile mills and textile product mills",6
"02000","Alaska","28","        Apparel and leather and allied products manufacturing","(L)"
"02000","Alaska","29","        Paper products manufacturing",1
"02000","Alaska","30","        Printing and related support activities",21
"02000","Alaska","31","        Petroleum and coal products manufacturing",791
"02000","Alaska","32","        Chemical products manufacturing",11
"02000","Alaska","33","        Plastics and rubber products manufacturing",17
"02000","Alaska","34","    Wholesale trade",1026
"02000","Alaska","35","    Retail trade",1943
"02000","Alaska","36","    Transportation and warehousing",4510
"02000","Alaska","37","      Air transportation",624
"02000","Alaska","38","      Rail transportation",0
"02000","Alaska","39","      Water transportation",204
"02000","Alaska","40","      Truck transportation",293
"02000","Alaska","41","      Transit and ground passenger transportation",99
"02000","Alaska","42","      Pipeline transportation",2533
"02000","Alaska","43","      Other transportation and support activities",721
"02000","Alaska","44","      Warehousing and storage",35
"02000","Alaska","45","    Information",948
"02000","Alaska","46","      Publishing industries, except Internet (includes software)",113
"02000","Alaska","47","      Motion picture and sound recording industries",28
"02000","Alaska","48","      Broadcasting and telecommunications",789
"02000","Alaska","49","      Data processing, internet publishing, and other information services",18
"02000","Alaska","50","    Finance, insurance, real estate, rental, and leasing",5416
"02000","Alaska","51","      Finance and insurance",1459
"02000","Alaska","52","        Federal Reserve banks, credit intermediation, and related services",631
"02000","Alaska","53","        Securities, commodity contracts, and investments",58
"02000","Alaska","54","        Insurance carriers and related activities",269
"02000","Alaska","55","        Funds, trusts, and other financial vehicles",500
"02000","Alaska","56","      Real estate and rental and leasing",3958
"02000","Alaska","57","        Real estate",3330
"02000","Alaska","58","        Rental and leasing services and lessors of intangible assets",628
"02000","Alaska","59","    Professional and business services",2884
"02000","Alaska","60","      Professional, scientific, and technical services",1829
"02000","Alaska","61","        Legal services",190
"02000","Alaska","62","        Computer systems design and related services",139
"02000","Alaska","63","        Miscellaneous professional, scientific, and technical services",1500
"02000","Alaska","64","      Management of companies and enterprises",143
"02000","Alaska","65","      Administrative and waste management services",913
"02000","Alaska","66","        Administrative and support services",728
"02000","Alaska","67","        Waste management and remediation services",185
"02000","Alaska","68","    Educational services, health care, and social assistance",2757
"02000","Alaska","69","      Educational services",128
"02000","Alaska","70","      Health care and social assistance",2629
"02000","Alaska","71","        Ambulatory health care services",1258
"02000","Alaska","72","        Hospitals and nursing and residential care facilities",983
"02000","Alaska","73","        Social assistance",388
"02000","Alaska","74","    Arts, entertainment, recreation, accommodation, and food services",1273
"02000","Alaska","75","      Arts, entertainment, and recreation",187
"02000","Alaska","76","        Performing arts, spectator sports, museums, and related activities",63
"02000","Alaska","77","        Amusements, gambling, and recreation industries",124
"02000","Alaska","78","      Accommodation and food services",1086
"02000","Alaska","79","        Accommodation",414
"02000","Alaska","80","        Food services and drinking places",672
"02000","Alaska","81","    Other services, except government",737
"02000","Alaska","82","  Government",9208
"02000","Alaska","83","    Federal civilian",1882
"02000","Alaska","84","    Federal military",2398
"02000","Alaska","85","    State and local",4929
"02000","Alaska","86","Addenda:",""
"02000","Alaska","86","Natural resources and mining",14631
"02000","Alaska","87","Trade",2968
"02000","Alaska","88","Transportation and utilities",5121
"02000","Alaska","89","Private goods-producing industries",18641
"02000","Alaska","90","Private services-providing industries",22105
"04000","Arizona","1","All industry total",243331
"04000","Arizona","2","  Private industries",208128
"04000","Arizona","3","    Agriculture, forestry, fishing, and hunting",1528
"04000","Arizona","4","      Farms",1010
"04000","Arizona","5","      Forestry, fishing, and related activities",519
"04000","Arizona","6","    Mining",4687
"04000","Arizona","7","      Oil and gas extraction",1
"04000","Arizona","8","      Mining, except oil and gas",4624
"04000","Arizona","9","      Support activities for mining",62
"04000","Arizona","10","    Utilities",5677
"04000","Arizona","11","    Construction",13167
"04000","Arizona","12","    Manufacturing",20026
"04000","Arizona","13","      Durable goods manufacturing",15376
"04000","Arizona","14","        Wood products manufacturing",208
"04000","Arizona","15","        Nonmetallic mineral products manufacturing",565
"04000","Arizona","16","        Primary metals manufacturing",556
"04000","Arizona","17","        Fabricated metal products",1305
"04000","Arizona","18","        Machinery manufacturing",625
"04000","Arizona","19","        Computer and electronic products manufacturing",6389
"04000","Arizona","20","        Electrical equipment, appliance, and components manufacturing",348
"04000","Arizona","21","        Motor vehicles, bodies and trailers, and parts manufacturing",175
"04000","Arizona","22","        Other transportation equipment manufacturing",3903
"04000","Arizona","23","        Furniture and related products manufacturing",341
"04000","Arizona","24","        Miscellaneous manufacturing",962
"04000","Arizona","25","      Nondurable goods manufacturing",4649
"04000","Arizona","26","        Food and beverage and tobacco products manufacturing",1693
"04000","Arizona","27","        Textile mills and textile product mills",79
"04000","Arizona","28","        Apparel and leather and allied products manufacturing",24
"04000","Arizona","29","        Paper products manufacturing",207
"04000","Arizona","30","        Printing and related support activities",408
"04000","Arizona","31","        Petroleum and coal products manufacturing",182
"04000","Arizona","32","        Chemical products manufacturing",1685
"04000","Arizona","33","        Plastics and rubber products manufacturing",372
"04000","Arizona","34","    Wholesale trade",14283
"04000","Arizona","35","    Retail trade",18439
"04000","Arizona","36","    Transportation and warehousing",6859
"04000","Arizona","37","      Air transportation",2040
"04000","Arizona","38","      Rail transportation",662
"04000","Arizona","39","      Water transportation",23
"04000","Arizona","40","      Truck transportation",1604
"04000","Arizona","41","      Transit and ground passenger transportation",539
"04000","Arizona","42","      Pipeline transportation",60
"04000","Arizona","43","      Other transportation and support activities",1405
"04000","Arizona","44","      Warehousing and storage",526
"04000","Arizona","45","    Information",6559
"04000","Arizona","46","      Publishing industries, except Internet (includes software)",1554
"04000","Arizona","47","      Motion picture and sound recording industries",428
"04000","Arizona","48","      Broadcasting and telecommunications",3845
"04000","Arizona","49","      Data processing, internet publishing, and other information services",733
"04000","Arizona","50","    Finance, insurance, real estate, rental, and leasing",51282
"04000","Arizona","51","      Finance and insurance",11757
"04000","Arizona","52","        Federal Reserve banks, credit intermediation, and related services",5119
"04000","Arizona","53","        Securities, commodity contracts, and investments",1328
"04000","Arizona","54","        Insurance carriers and related activities",4818
"04000","Arizona","55","        Funds, trusts, and other financial vehicles",492
"04000","Arizona","56","      Real estate and rental and leasing",39525
"04000","Arizona","57","        Real estate",34889
"04000","Arizona","58","        Rental and leasing services and lessors of intangible assets",4635
"04000","Arizona","59","    Professional and business services",27353
"04000","Arizona","60","      Professional, scientific, and technical services",13866
"04000","Arizona","61","        Legal services",2517
"04000","Arizona","62","        Computer systems design and related services",2501
"04000","Arizona","63","        Miscellaneous professional, scientific, and technical services",8848
"04000","Arizona","64","      Management of companies and enterprises",2912
"04000","Arizona","65","      Administrative and waste management services",10576
"04000","Arizona","66","        Administrative and support services",9842
"04000","Arizona","67","        Waste management and remediation services",733
"04000","Arizona","68","    Educational services, health care, and social assistance",22549
"04000","Arizona","69","      Educational services",2612
"04000","Arizona","70","      Health care and social assistance",19937
"04000","Arizona","71","        Ambulatory health care services",10922
"04000","Arizona","72","        Hospitals and nursing and residential care facilities",7648
"04000","Arizona","73","        Social assistance",1367
"04000","Arizona","74","    Arts, entertainment, recreation, accommodation, and food services",10487
"04000","Arizona","75","      Arts, entertainment, and recreation",2341
"04000","Arizona","76","        Performing arts, spectator sports, museums, and related activities",1351
"04000","Arizona","77","        Amusements, gambling, and recreation industries",989
"04000","Arizona","78","      Accommodation and food services",8146
"04000","Arizona","79","        Accommodation",2463
"04000","Arizona","80","        Food services and drinking places",5683
"04000","Arizona","81","    Other services, except government",5231
"04000","Arizona","82","  Government",35203
"04000","Arizona","83","    Federal civilian",6247
"04000","Arizona","84","    Federal military",3833
"04000","Arizona","85","    State and local",25123
"04000","Arizona","86","Addenda:",""
"04000","Arizona","86","Natural resources and mining",6216
"04000","Arizona","87","Trade",32722
"04000","Arizona","88","Transportation and utilities",12536
"04000","Arizona","89","Private goods-producing industries",39408
"04000","Arizona","90","Private services-providing industries",168719
"05000","Arkansas","1","All industry total",105841
"05000","Arkansas","2","  Private industries",91873
"05000","Arkansas","3","    Agriculture, forestry, fishing, and hunting",2537
"05000","Arkansas","4","      Farms",2050
"05000","Arkansas","5","      Forestry, fishing, and related activities",487
"05000","Arkansas","6","    Mining",2249
"05000","Arkansas","7","      Oil and gas extraction",1180
"05000","Arkansas","8","      Mining, except oil and gas",307
"05000","Arkansas","9","      Support activities for mining",762
"05000","Arkansas","10","    Utilities",2467
"05000","Arkansas","11","    Construction",4266
"05000","Arkansas","12","    Manufacturing",14010
"05000","Arkansas","13","      Durable goods manufacturing",6407
"05000","Arkansas","14","        Wood products manufacturing",532
"05000","Arkansas","15","        Nonmetallic mineral products manufacturing",272
"05000","Arkansas","16","        Primary metals manufacturing",590
"05000","Arkansas","17","        Fabricated metal products",1912
"05000","Arkansas","18","        Machinery manufacturing",856
"05000","Arkansas","19","        Computer and electronic products manufacturing",253
"05000","Arkansas","20","        Electrical equipment, appliance, and components manufacturing",775
"05000","Arkansas","21","        Motor vehicles, bodies and trailers, and parts manufacturing",243
"05000","Arkansas","22","        Other transportation equipment manufacturing",436
"05000","Arkansas","23","        Furniture and related products manufacturing",257
"05000","Arkansas","24","        Miscellaneous manufacturing",281
"05000","Arkansas","25","      Nondurable goods manufacturing",7603
"05000","Arkansas","26","        Food and beverage and tobacco products manufacturing",3300
"05000","Arkansas","27","        Textile mills and textile product mills",58
"05000","Arkansas","28","        Apparel and leather and allied products manufacturing",111
"05000","Arkansas","29","        Paper products manufacturing",1970
"05000","Arkansas","30","        Printing and related support activities",259
"05000","Arkansas","31","        Petroleum and coal products manufacturing",335
"05000","Arkansas","32","        Chemical products manufacturing",687
"05000","Arkansas","33","        Plastics and rubber products manufacturing",882
"05000","Arkansas","34","    Wholesale trade",7257
"05000","Arkansas","35","    Retail trade",7070
"05000","Arkansas","36","    Transportation and warehousing",4120
"05000","Arkansas","37","      Air transportation",126
"05000","Arkansas","38","      Rail transportation",570
"05000","Arkansas","39","      Water transportation",19
"05000","Arkansas","40","      Truck transportation",2200
"05000","Arkansas","41","      Transit and ground passenger transportation",50
"05000","Arkansas","42","      Pipeline transportation",160
"05000","Arkansas","43","      Other transportation and support activities",541
"05000","Arkansas","44","      Warehousing and storage",455
"05000","Arkansas","45","    Information",10864
"05000","Arkansas","46","      Publishing industries, except Internet (includes software)",597
"05000","Arkansas","47","      Motion picture and sound recording industries",139
"05000","Arkansas","48","      Broadcasting and telecommunications",9976
"05000","Arkansas","49","      Data processing, internet publishing, and other information services",152
"05000","Arkansas","50","    Finance, insurance, real estate, rental, and leasing",14879
"05000","Arkansas","51","      Finance and insurance",3853
"05000","Arkansas","52","        Federal Reserve banks, credit intermediation, and related services",1918
"05000","Arkansas","53","        Securities, commodity contracts, and investments",413
"05000","Arkansas","54","        Insurance carriers and related activities",1439
"05000","Arkansas","55","        Funds, trusts, and other financial vehicles",84
"05000","Arkansas","56","      Real estate and rental and leasing",11026
"05000","Arkansas","57","        Real estate",8859
"05000","Arkansas","58","        Rental and leasing services and lessors of intangible assets",2167
"05000","Arkansas","59","    Professional and business services",8641
"05000","Arkansas","60","      Professional, scientific, and technical services",3439
"05000","Arkansas","61","        Legal services",703
"05000","Arkansas","62","        Computer systems design and related services",715
"05000","Arkansas","63","        Miscellaneous professional, scientific, and technical services",2021
"05000","Arkansas","64","      Management of companies and enterprises",3001
"05000","Arkansas","65","      Administrative and waste management services",2201
"05000","Arkansas","66","        Administrative and support services",1952
"05000","Arkansas","67","        Waste management and remediation services",249
"05000","Arkansas","68","    Educational services, health care, and social assistance",8432
"05000","Arkansas","69","      Educational services",528
"05000","Arkansas","70","      Health care and social assistance",7903
"05000","Arkansas","71","        Ambulatory health care services",3650
"05000","Arkansas","72","        Hospitals and nursing and residential care facilities",3349
"05000","Arkansas","73","        Social assistance",903
"05000","Arkansas","74","    Arts, entertainment, recreation, accommodation, and food services",2797
"05000","Arkansas","75","      Arts, entertainment, and recreation",402
"05000","Arkansas","76","        Performing arts, spectator sports, museums, and related activities",153
"05000","Arkansas","77","        Amusements, gambling, and recreation industries",248
"05000","Arkansas","78","      Accommodation and food services",2395
"05000","Arkansas","79","        Accommodation",455
"05000","Arkansas","80","        Food services and drinking places",1940
"05000","Arkansas","81","    Other services, except government",2283
"05000","Arkansas","82","  Government",13968
"05000","Arkansas","83","    Federal civilian",2326
"05000","Arkansas","84","    Federal military",1148
"05000","Arkansas","85","    State and local",10494
"05000","Arkansas","86","Addenda:",""
"05000","Arkansas","86","Natural resources and mining",4786
"05000","Arkansas","87","Trade",14327
"05000","Arkansas","88","Transportation and utilities",6588
"05000","Arkansas","89","Private goods-producing industries",23062
"05000","Arkansas","90","Private services-providing industries",68811
"06000","California","1","All industry total",1906376
"06000","California","2","  Private industries",1644935
"06000","California","3","    Agriculture, forestry, fishing, and hunting",25439
"06000","California","4","      Farms",17781
"06000","California","5","      Forestry, fishing, and related activities",7658
"06000","California","6","    Mining",20279
"06000","California","7","      Oil and gas extraction",17215
"06000","California","8","      Mining, except oil and gas",1819
"06000","California","9","      Support activities for mining",1246
"06000","California","10","    Utilities",27999
"06000","California","11","    Construction",65707
"06000","California","12","    Manufacturing",229479
"06000","California","13","      Durable goods manufacturing",122981
"06000","California","14","        Wood products manufacturing",1297
"06000","California","15","        Nonmetallic mineral products manufacturing",3025
"06000","California","16","        Primary metals manufacturing",1650
"06000","California","17","        Fabricated metal products",10847
"06000","California","18","        Machinery manufacturing",8665
"06000","California","19","        Computer and electronic products manufacturing",58539
"06000","California","20","        Electrical equipment, appliance, and components manufacturing",3273
"06000","California","21","        Motor vehicles, bodies and trailers, and parts manufacturing",2958
"06000","California","22","        Other transportation equipment manufacturing",16429
"06000","California","23","        Furniture and related products manufacturing",2116
"06000","California","24","        Miscellaneous manufacturing",14182
"06000","California","25","      Nondurable goods manufacturing",106498
"06000","California","26","        Food and beverage and tobacco products manufacturing",26045
"06000","California","27","        Textile mills and textile product mills",950
"06000","California","28","        Apparel and leather and allied products manufacturing",2845
"06000","California","29","        Paper products manufacturing",3067
"06000","California","30","        Printing and related support activities",3454
"06000","California","31","        Petroleum and coal products manufacturing",30973
"06000","California","32","        Chemical products manufacturing",34831
"06000","California","33","        Plastics and rubber products manufacturing",4332
"06000","California","34","    Wholesale trade",100603
"06000","California","35","    Retail trade",109363
"06000","California","36","    Transportation and warehousing",41864
"06000","California","37","      Air transportation",7068
"06000","California","38","      Rail transportation",1127
"06000","California","39","      Water transportation",1420
"06000","California","40","      Truck transportation",10798
"06000","California","41","      Transit and ground passenger transportation",2623
"06000","California","42","      Pipeline transportation",1378
"06000","California","43","      Other transportation and support activities",12207
"06000","California","44","      Warehousing and storage",5242
"06000","California","45","    Information",134655
"06000","California","46","      Publishing industries, except Internet (includes software)",23940
"06000","California","47","      Motion picture and sound recording industries",47661
"06000","California","48","      Broadcasting and telecommunications",48531
"06000","California","49","      Data processing, internet publishing, and other information services",14523
"06000","California","50","    Finance, insurance, real estate, rental, and leasing",406685
"06000","California","51","      Finance and insurance",93137
"06000","California","52","        Federal Reserve banks, credit intermediation, and related services",40503
"06000","California","53","        Securities, commodity contracts, and investments",17771
"06000","California","54","        Insurance carriers and related activities",29831
"06000","California","55","        Funds, trusts, and other financial vehicles",5032
"06000","California","56","      Real estate and rental and leasing",313549
"06000","California","57","        Real estate",293746
"06000","California","58","        Rental and leasing services and lessors of intangible assets",19803
"06000","California","59","    Professional and business services",236025
"06000","California","60","      Professional, scientific, and technical services",155629
"06000","California","61","        Legal services",30472
"06000","California","62","        Computer systems design and related services",29112
"06000","California","63","        Miscellaneous professional, scientific, and technical services",96045
"06000","California","64","      Management of companies and enterprises",25400
"06000","California","65","      Administrative and waste management services",54996
"06000","California","66","        Administrative and support services",50222
"06000","California","67","        Waste management and remediation services",4774
"06000","California","68","    Educational services, health care, and social assistance",133118
"06000","California","69","      Educational services",18572
"06000","California","70","      Health care and social assistance",114546
"06000","California","71","        Ambulatory health care services",55668
"06000","California","72","        Hospitals and nursing and residential care facilities",49278
"06000","California","73","        Social assistance",9600
"06000","California","74","    Arts, entertainment, recreation, accommodation, and food services",71649
"06000","California","75","      Arts, entertainment, and recreation",24115
"06000","California","76","        Performing arts, spectator sports, museums, and related activities",16547
"06000","California","77","        Amusements, gambling, and recreation industries",7568
"06000","California","78","      Accommodation and food services",47534
"06000","California","79","        Accommodation",11878
"06000","California","80","        Food services and drinking places",35657
"06000","California","81","    Other services, except government",42069
"06000","California","82","  Government",261441
"06000","California","83","    Federal civilian",34009
"06000","California","84","    Federal military",29132
"06000","California","85","    State and local",198300
"06000","California","86","Addenda:",""
"06000","California","86","Natural resources and mining",45718
"06000","California","87","Trade",209967
"06000","California","88","Transportation and utilities",69863
"06000","California","89","Private goods-producing industries",340903
"06000","California","90","Private services-providing industries",1304032
"08000","Colorado","1","All industry total",248177
"08000","Colorado","2","  Private industries",214930
"08000","Colorado","3","    Agriculture, forestry, fishing, and hunting",2112
"08000","Colorado","4","      Farms",1837
"08000","Colorado","5","      Forestry, fishing, and related activities",275
"08000","Colorado","6","    Mining",11330
"08000","Colorado","7","      Oil and gas extraction",7107
"08000","Colorado","8","      Mining, except oil and gas",2601
"08000","Colorado","9","      Support activities for mining",1622
"08000","Colorado","10","    Utilities",3152
"08000","Colorado","11","    Construction",11612
"08000","Colorado","12","    Manufacturing",19429
"08000","Colorado","13","      Durable goods manufacturing",10410
"08000","Colorado","14","        Wood products manufacturing",207
"08000","Colorado","15","        Nonmetallic mineral products manufacturing",648
"08000","Colorado","16","        Primary metals manufacturing",286
"08000","Colorado","17","        Fabricated metal products",1049
"08000","Colorado","18","        Machinery manufacturing",1129
"08000","Colorado","19","        Computer and electronic products manufacturing",3824
"08000","Colorado","20","        Electrical equipment, appliance, and components manufacturing",222
"08000","Colorado","21","        Motor vehicles, bodies and trailers, and parts manufacturing",63
"08000","Colorado","22","        Other transportation equipment manufacturing",1021
"08000","Colorado","23","        Furniture and related products manufacturing",313
"08000","Colorado","24","        Miscellaneous manufacturing",1648
"08000","Colorado","25","      Nondurable goods manufacturing",9019
"08000","Colorado","26","        Food and beverage and tobacco products manufacturing",3768
"08000","Colorado","27","        Textile mills and textile product mills",149
"08000","Colorado","28","        Apparel and leather and allied products manufacturing",54
"08000","Colorado","29","        Paper products manufacturing",131
"08000","Colorado","30","        Printing and related support activities",470
"08000","Colorado","31","        Petroleum and coal products manufacturing",1246
"08000","Colorado","32","        Chemical products manufacturing",2750
"08000","Colorado","33","        Plastics and rubber products manufacturing",452
"08000","Colorado","34","    Wholesale trade",13309
"08000","Colorado","35","    Retail trade",14140
"08000","Colorado","36","    Transportation and warehousing",6386
"08000","Colorado","37","      Air transportation",1772
"08000","Colorado","38","      Rail transportation",757
"08000","Colorado","39","      Water transportation",4
"08000","Colorado","40","      Truck transportation",1493
"08000","Colorado","41","      Transit and ground passenger transportation",334
"08000","Colorado","42","      Pipeline transportation",337
"08000","Colorado","43","      Other transportation and support activities",1234
"08000","Colorado","44","      Warehousing and storage",455
"08000","Colorado","45","    Information",20171
"08000","Colorado","46","      Publishing industries, except Internet (includes software)",5236
"08000","Colorado","47","      Motion picture and sound recording industries",484
"08000","Colorado","48","      Broadcasting and telecommunications",13089
"08000","Colorado","49","      Data processing, internet publishing, and other information services",1362
"08000","Colorado","50","    Finance, insurance, real estate, rental, and leasing",45343
"08000","Colorado","51","      Finance and insurance",12044
"08000","Colorado","52","        Federal Reserve banks, credit intermediation, and related services",3598
"08000","Colorado","53","        Securities, commodity contracts, and investments",2161
"08000","Colorado","54","        Insurance carriers and related activities",5264
"08000","Colorado","55","        Funds, trusts, and other financial vehicles",1021
"08000","Colorado","56","      Real estate and rental and leasing",33299
"08000","Colorado","57","        Real estate",30239
"08000","Colorado","58","        Rental and leasing services and lessors of intangible assets",3060
"08000","Colorado","59","    Professional and business services",34342
"08000","Colorado","60","      Professional, scientific, and technical services",22122
"08000","Colorado","61","        Legal services",2834
"08000","Colorado","62","        Computer systems design and related services",5088
"08000","Colorado","63","        Miscellaneous professional, scientific, and technical services",14200
"08000","Colorado","64","      Management of companies and enterprises",4657
"08000","Colorado","65","      Administrative and waste management services",7563
"08000","Colorado","66","        Administrative and support services",6872
"08000","Colorado","67","        Waste management and remediation services",691
"08000","Colorado","68","    Educational services, health care, and social assistance",17061
"08000","Colorado","69","      Educational services",1885
"08000","Colorado","70","      Health care and social assistance",15176
"08000","Colorado","71","        Ambulatory health care services",8138
"08000","Colorado","72","        Hospitals and nursing and residential care facilities",5611
"08000","Colorado","73","        Social assistance",1428
"08000","Colorado","74","    Arts, entertainment, recreation, accommodation, and food services",10598
"08000","Colorado","75","      Arts, entertainment, and recreation",2958
"08000","Colorado","76","        Performing arts, spectator sports, museums, and related activities",1314
"08000","Colorado","77","        Amusements, gambling, and recreation industries",1644
"08000","Colorado","78","      Accommodation and food services",7640
"08000","Colorado","79","        Accommodation",2221
"08000","Colorado","80","        Food services and drinking places",5419
"08000","Colorado","81","    Other services, except government",5944
"08000","Colorado","82","  Government",33247
"08000","Colorado","83","    Federal civilian",6900
"08000","Colorado","84","    Federal military",4766
"08000","Colorado","85","    State and local",21580
"08000","Colorado","86","Addenda:",""
"08000","Colorado","86","Natural resources and mining",13442
"08000","Colorado","87","Trade",27449
"08000","Colorado","88","Transportation and utilities",9538
"08000","Colorado","89","Private goods-producing industries",44483
"08000","Colorado","90","Private services-providing industries",170447
"09000","Connecticut","1","All industry total",230005
"09000","Connecticut","2","  Private industries",205922
"09000","Connecticut","3","    Agriculture, forestry, fishing, and hunting",314
"09000","Connecticut","4","      Farms",262
"09000","Connecticut","5","      Forestry, fishing, and related activities",52
"09000","Connecticut","6","    Mining",113
"09000","Connecticut","7","      Oil and gas extraction","(L)"
"09000","Connecticut","8","      Mining, except oil and gas",110
"09000","Connecticut","9","      Support activities for mining",3
